冷眼旁观的mask : 跟当年的波士顿爆炸案手法一摸一样，关键词 垃圾桶，高压锅
爱仕达亮点 : 是备胎炸了。
白诗南 : 纽约最近好乱啊
zhixizi : 报道外国的死难情况比国内的还准
Demos23 : 不要乱扔三星机！
别样的成长 : Note7要出来背锅吗？
庆simon : 不用的手机请不用乱扔
余彤 : 是路虎轮胎爆炸吧
火舞fox : 没有证据显示与国际恐怖主义有联系，但也没有证据显示能排除与国际恐怖主义的联系。这个左派市长把选举摆在人民安全之上。
买车买房生个娃 : 回复@跳河自尽的鱼2:你看朝鲜从来不会发生这种事，朝鲜要炸就炸个大的，这种小爆炸在朝鲜不够丢人的
白面馒头v : 垃圾桶内发现了note7
张起微博 : 我们国家有点偷盗抢劫什么的键盘侠纷纷出来说，还是美国好，美国法律什么什么样
Die-Easy : trump赢定了！！
aduyuandu1 : @L_天空之城
GM博bo : damn son trump won[笑cry][笑cry]
闲来无事看苍生 : 任何针对平民的杀戮和暴力行为都是不可饶恕的反人类罪恶，当把伤害无辜的普通人作为手段时，你就是人类的敌人、可耻的懦夫和人人可诛的孬种。任何针对平民的袭击都是无耻的犯罪行为，我们不能因为国家意识形态的差异而为恐怖袭击唱赞歌。恐怖分子是全人类的敌人。 愿生者平安，逝者安息！
道琼斯工业平均指数 : 回复@励志做一个暖男:上海机场爆炸，柳州邮件连环爆炸，也是第一时间报道的[挖鼻]
客家人肖导 : 还没组织宣称对此事负责吗？[吃惊]
向早晨问好 : 川普：等我担任美国总统之后，三星、陆虎将被视为恐怖分子最新杀伤性武器[笑cry][笑cry]
励志做一个暖男 : 为什么他国发生这种事件恨不得一分钟后立马报道让国人知道。怎么国内有些事件都那么消极呢
清凈平等覺 : 为了他人的安全，请不要将note7扔垃圾桶
Jerome凌霄 : 这不是底层人民愤怒的呐喊吗
dawpig : 当地周六晚8点半，贵媒体的时差好大。是怕报道出了偏差要负责任，需要那么久时间确认真实性么?长者已经不在意你们了啊[汗]
幽mm幽 : 918
草上不肥 : 回复@跳河自尽的鱼2:说得好像中国就没有东突搞事一样
我爱大列吧 : 拿高压锅做的炸弹，很可能是极端组织干的！
一只喝红茶的猫 : 有人扔了一台note7吧[笑cry]
